Point ID,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Cluster
3365,134251,1391.53,523.629,327.676,1.59801,0.780001,135409,413.441,0.789684,0.991448,0.871246,0.789569,0.00390037,0.000935075,0.623419,0.996231,2
3366,135222,1371.67,495.102,348.785,1.41951,0.709734,136192,414.934,0.772423,0.992878,0.90315,0.838077,0.0036614,0.0011142,0.702372,0.997023,2
3367,135403,1381.94,523.255,332.196,1.57514,0.772624,137618,415.211,0.78785,0.983905,0.890966,0.793516,0.00386443,0.00094512,0.629667,0.991815,2
3368,135898,1385.64,509.443,341.49,1.49182,0.742072,137538,415.97,0.754788,0.988076,0.889446,0.816518,0.00374872,0.00102784,0.666702,0.994602,2
3369,137075,1432.71,526.898,334.118,1.57698,0.773233,139517,417.767,0.676997,0.982497,0.83917,0.79288,0.00384387,0.000937084,0.628659,0.991385,2
3370,137115,1427.06,519.2,337.475,1.53849,0.759943,138970,417.828,0.789974,0.986652,0.846083,0.804754,0.0037866,0.000979674,0.647629,0.996367,2
3371,137358,1364.64,507.986,345.223,1.47147,0.733591,138093,418.198,0.798073,0.994677,0.926882,0.823247,0.00369826,0.00104785,0.677736,0.99727,2
3372,137518,1417.94,519.78,339.93,1.52908,0.756504,139153,418.442,0.778239,0.98825,0.859511,0.805036,0.00377972,0.000979266,0.648083,0.990969,2
3373,137748,1389.63,499.371,353.301,1.41344,0.70672,138869,418.791,0.809463,0.991928,0.896384,0.838638,0.00362525,0.00110616,0.703315,0.994094,2
3374,137890,1410.3,522.188,338.364,1.54327,0.761662,139207,419.007,0.782239,0.990539,0.871201,0.802407,0.00378699,0.000968396,0.643858,0.993646,2
3375,138059,1459.69,540.678,334.166,1.61799,0.786138,143275,419.264,0.76737,0.963594,0.814246,0.775441,0.00391628,0.000873472,0.601309,0.972912,2
3376,138114,1368.73,483.717,364.519,1.327,0.657358,139491,419.347,0.79395,0.990128,0.926427,0.866926,0.0035023,0.00122029,0.751561,0.997323,2
3377,138244,1395.7,510.681,346.645,1.47321,0.734332,139249,419.545,0.797365,0.992783,0.891811,0.821539,0.00369406,0.001038,0.674927,0.994308,2
3378,138265,1396.14,512.806,345.181,1.48561,0.739531,139739,419.577,0.754837,0.989452,0.891384,0.818197,0.00370887,0.0010253,0.669446,0.994539,2
3379,138659,1415.44,509.828,347.585,1.46677,0.731566,139826,420.174,0.710733,0.991654,0.869712,0.824149,0.00367684,0.00104635,0.679222,0.996262,2
3380,138777,1403.01,502.613,353.811,1.42057,0.710256,140144,420.353,0.8237,0.990246,0.885948,0.836334,0.00362174,0.00109299,0.699454,0.993623,2
3381,138976,1404.38,509.41,351.648,1.44864,0.723519,140912,420.654,0.738394,0.986261,0.885487,0.825767,0.00366545,0.00105133,0.681891,0.987811,2
3382,139523,1410.9,501.722,354.969,1.41343,0.706712,140892,421.481,0.73222,0.990283,0.88077,0.84007,0.00359598,0.00110473,0.705717,0.997478,2
3383,139639,1379.18,473.781,376.55,1.25821,0.606901,140541,421.656,0.783916,0.993582,0.922514,0.889982,0.0033929,0.00131303,0.792068,0.99659,2
3384,139686,1402.29,508.682,350.947,1.44946,0.723891,141092,421.727,0.765403,0.990035,0.892658,0.829058,0.00364161,0.00106124,0.687338,0.996266,2
3385,139841,1430.24,524.802,341.34,1.53748,0.759578,141672,421.961,0.780276,0.987076,0.859065,0.804038,0.00375285,0.000967491,0.646477,0.993943,2
3386,140313,1432.03,517.426,347.254,1.49005,0.74135,141966,422.673,0.72124,0.988356,0.859813,0.816875,0.00368766,0.00101287,0.667286,0.994288,2
3387,140867,1414.34,500.308,360.178,1.38906,0.694065,142672,423.506,0.813762,0.987349,0.88494,0.846491,0.00355163,0.00112486,0.716547,0.995326,2
3388,140964,1425.6,538.239,334.911,1.60711,0.782831,142173,423.652,0.815198,0.991496,0.871611,0.787107,0.00381827,0.00090403,0.619538,0.995668,2
3389,141385,1429.43,525.901,344.355,1.52721,0.75581,143530,424.284,0.719165,0.985055,0.869539,0.806776,0.00371964,0.000972057,0.650887,0.994038,2
3390,141519,1442.9,523.101,347.096,1.50708,0.748145,143783,424.485,0.780601,0.984254,0.854181,0.811479,0.00369633,0.000988687,0.658498,0.992408,2
3391,141850,1432.85,524.923,346.911,1.51314,0.750492,143680,424.981,0.804617,0.987263,0.86824,0.809606,0.00370055,0.000980712,0.655462,0.991803,2
3392,141953,1402.05,524.231,346.397,1.51338,0.750586,143704,425.135,0.714711,0.987815,0.90746,0.810969,0.00369299,0.000985317,0.657672,0.995307,2
3393,142154,1378.11,501.729,361.67,1.38726,0.693095,143074,425.436,0.795125,0.99357,0.940588,0.84794,0.00352948,0.00112551,0.719002,0.997442,2
3394,142238,1425.36,516.443,351.415,1.46961,0.732792,143764,425.562,0.767464,0.989385,0.879782,0.824026,0.00363083,0.00103264,0.679018,0.997892,2
3395,142399,1430.28,524.588,347.262,1.51064,0.74953,143783,425.803,0.796192,0.990374,0.874737,0.811689,0.00368393,0.000986395,0.65884,0.995271,2
3396,142592,1408.74,519.776,351.292,1.47961,0.737036,144325,426.091,0.804164,0.987992,0.902901,0.81976,0.00364519,0.00101542,0.672006,0.994307,2
3397,143603,1405.21,516.02,356.294,1.4483,0.723366,145400,427.599,0.773694,0.987641,0.913888,0.828649,0.00359338,0.00104512,0.686658,0.994487,2
3398,144058,1463.26,536.888,343.963,1.56089,0.767824,145734,428.276,0.748801,0.9885,0.845484,0.797702,0.00372688,0.000930867,0.636328,0.993236,2
3399,144079,1462.01,534.599,346.331,1.54361,0.761783,146415,428.307,0.693121,0.984045,0.847049,0.801174,0.00371046,0.000943007,0.64188,0.990812,2
3400,144083,1416.89,508.24,362.823,1.40079,0.700267,145241,428.313,0.797034,0.992027,0.901878,0.842738,0.00352741,0.0010975,0.710208,0.994854,2
3401,144404,1444.94,526.194,350.854,1.49975,0.745257,145991,428.79,0.763525,0.989129,0.869143,0.81489,0.0036439,0.000991157,0.664046,0.995904,2
3402,144458,1440.78,524.98,351.943,1.49166,0.742006,146010,428.87,0.761837,0.989371,0.874495,0.816926,0.00363414,0.000998417,0.667368,0.995487,2
3403,144704,1443,545.111,338.958,1.6082,0.783165,145929,429.235,0.759709,0.991606,0.873292,0.787428,0.00376707,0.00089336,0.620042,0.99715,2
3404,145163,1449.28,535.862,346.384,1.54702,0.762995,146814,429.915,0.704613,0.988754,0.868486,0.802287,0.00369145,0.0009434,0.643664,0.995761,2
3405,145285,1440.99,524.957,353.077,1.48681,0.740022,146709,430.096,0.786047,0.990294,0.879241,0.819298,0.00361329,0.00100427,0.671249,0.998017,2
3406,145339,1465.76,543.258,342.469,1.5863,0.776273,147256,430.176,0.695958,0.986982,0.850095,0.791844,0.00373787,0.000906489,0.627017,0.994638,2
3407,145886,1438.54,539.427,345.675,1.5605,0.767692,147342,430.985,0.757656,0.990118,0.885888,0.798968,0.00369759,0.000929429,0.63835,0.996147,2
3408,146007,1466.01,530.06,353.329,1.50019,0.74543,147648,431.163,0.770384,0.988886,0.85371,0.813424,0.00363037,0.000980392,0.661659,0.992612,2
3409,146015,1454.65,540.155,346.004,1.56112,0.767905,147529,431.175,0.8069,0.989738,0.867137,0.798243,0.00369931,0.000926493,0.637193,0.994737,2
3410,146153,1476.38,526.193,356.528,1.47588,0.735466,149267,431.379,0.731936,0.979138,0.842596,0.819811,0.00360029,0.00100316,0.67209,0.991924,2
3411,146154,1460.11,540.338,346.767,1.55822,0.766907,148196,431.38,0.735714,0.986221,0.861494,0.798352,0.00369705,0.000926432,0.637367,0.993156,2
3412,146328,1476.39,542.282,346.05,1.56706,0.769922,149274,431.637,0.764794,0.980264,0.843597,0.795965,0.00370593,0.000917599,0.63356,0.992826,2
3413,146521,1478.21,528.247,357.824,1.47628,0.735634,150261,431.922,0.755107,0.97511,0.842631,0.817651,0.00360527,0.000994004,0.668553,0.98697,2
3414,146618,1460.1,551.04,340.38,1.61889,0.78641,148342,432.065,0.815632,0.988378,0.864233,0.78409,0.00375834,0.000876272,0.614797,0.995291,2
3415,146862,1422.93,534.464,352.757,1.51511,0.751249,148492,432.424,0.819414,0.989023,0.911486,0.80908,0.00363923,0.000961953,0.65461,0.991804,2
3416,146976,1463.47,540.345,347.643,1.55431,0.765553,148762,432.592,0.798366,0.987994,0.862361,0.800585,0.00367641,0.00093161,0.640936,0.996213,2
3417,147030,1444.3,532.868,352.307,1.51251,0.750251,148198,432.671,0.824321,0.992119,0.885731,0.811967,0.00362421,0.000971735,0.659291,0.997185,2
3418,147044,1438.44,527.342,356.559,1.47897,0.73677,148317,432.692,0.808845,0.991417,0.893049,0.820515,0.00358628,0.0010027,0.673245,0.995713,2
3419,147218,1459.13,531.239,353.503,1.50278,0.746458,148914,432.948,0.744733,0.988611,0.868927,0.814978,0.00360852,0.000981955,0.664189,0.998132,2
3420,147288,1469.07,560.873,336.89,1.66486,0.79951,149204,433.051,0.774214,0.987159,0.857619,0.772101,0.003808,0.000834783,0.59614,0.992487,2
3421,147827,1452.18,541.379,349.747,1.54791,0.763311,148921,433.842,0.783804,0.992654,0.88089,0.801366,0.00366224,0.000931646,0.642187,0.99405,2
3422,147930,1439.84,519.358,364.795,1.4237,0.711787,149429,433.993,0.760034,0.989968,0.896675,0.835635,0.00351084,0.00105598,0.698285,0.994148,2
3423,148325,1454.93,549.734,344.95,1.59366,0.778628,149846,434.572,0.778887,0.98985,0.88052,0.790515,0.00370628,0.000892806,0.624913,0.995901,2
3424,148827,1503.93,532.875,364.54,1.46177,0.729387,153846,435.307,0.749169,0.967376,0.826866,0.816904,0.0035805,0.000983573,0.667332,0.975487,2
3425,148931,1403.5,496.127,382.827,1.29596,0.63607,149919,435.459,0.823961,0.99341,0.950104,0.877718,0.00333125,0.00121957,0.770388,0.998389,2
3426,149231,1447.23,537.386,354.929,1.51406,0.750849,150684,435.898,0.746846,0.990357,0.895347,0.811145,0.00360103,0.000961614,0.657956,0.996188,2
3427,149264,1501.82,581.236,329.484,1.76408,0.823809,151608,435.946,0.807706,0.984539,0.83163,0.750033,0.00389401,0.000760147,0.562549,0.992381,2
3428,149462,1505.82,564.969,341.481,1.65447,0.796663,152402,436.235,0.798135,0.980709,0.828315,0.77214,0.00378001,0.000828815,0.5962,0.986394,2
3429,149824,1454.25,532.782,359.671,1.48131,0.737744,151188,436.763,0.823209,0.990978,0.890254,0.819778,0.00355605,0.000990677,0.672035,0.995489,2
3430,149941,1485.14,563.718,342.711,1.64488,0.793977,152636,436.933,0.710823,0.982344,0.854269,0.775092,0.0037596,0.000837018,0.600768,0.98819,2
3431,150168,1474.75,548.376,351.432,1.5604,0.767658,151809,437.264,0.822947,0.98919,0.867659,0.797379,0.00365175,0.000910629,0.635814,0.992126,2
3432,150169,1496.08,562.823,342.795,1.64187,0.793122,151971,437.265,0.779026,0.988142,0.843106,0.776914,0.00374793,0.000842294,0.603596,0.991023,2
3433,150467,1474.07,525.887,366.711,1.43406,0.71676,152958,437.699,0.7872,0.983714,0.870187,0.832307,0.00349503,0.00103458,0.692734,0.993424,2
3434,150648,1489.75,511.943,379.285,1.34976,0.671645,153091,437.962,0.781426,0.984042,0.852994,0.855491,0.00339827,0.00112279,0.731864,0.987841,2
3435,150664,1500.49,582.438,332.045,1.75409,0.821579,152581,437.986,0.778819,0.987436,0.840911,0.751986,0.00386581,0.000762535,0.565483,0.991911,2
3436,150738,1465.68,532.787,361.851,1.47239,0.733985,152131,438.093,0.729789,0.990843,0.881767,0.822267,0.00353452,0.000996694,0.676123,0.995519,2
3437,151012,1488.97,557.405,349.674,1.59407,0.778758,153816,438.491,0.739038,0.98177,0.855952,0.786665,0.00369113,0.000871963,0.618841,0.986478,2
3438,151014,1456.77,532.741,362.552,1.46942,0.732709,152434,438.494,0.81027,0.990684,0.894225,0.823091,0.00352776,0.000998779,0.677478,0.995499,2
3439,151091,1464.04,536.354,361.572,1.48339,0.738613,153478,438.606,0.76116,0.984447,0.885809,0.817754,0.00354988,0.000979227,0.668722,0.991978,2
3440,151590,1499.48,569.231,341.291,1.66787,0.800326,153708,439.329,0.791175,0.986221,0.847224,0.771795,0.00375507,0.000821875,0.595668,0.993499,2
3441,151876,1469.11,541.212,359.478,1.50555,0.747547,153869,439.744,0.725471,0.987047,0.884284,0.812516,0.00356352,0.000958045,0.660182,0.993937,2
3442,152063,1455.55,524.785,371.247,1.41357,0.706785,153860,440.014,0.764451,0.988321,0.901942,0.838466,0.0034511,0.00105215,0.703025,0.993777,2
3443,152089,1489.98,553.26,353.389,1.56558,0.769423,154964,440.052,0.800789,0.981447,0.860893,0.79538,0.00363774,0.000898071,0.63263,0.990435,2
3444,152533,1504.65,548.894,354.892,1.54665,0.762865,154915,440.694,0.774909,0.984624,0.84665,0.802876,0.00359853,0.000922354,0.644609,0.996987,2
3445,152816,1455.53,537.151,365.627,1.46912,0.732582,154914,441.102,0.811642,0.986457,0.906436,0.821189,0.00351502,0.000986007,0.674352,0.990704,2
3446,152869,1475.47,537.207,365.401,1.47019,0.73304,154271,441.179,0.761099,0.990912,0.882403,0.821245,0.00351417,0.000986038,0.674443,0.991558,2
3447,152884,1469.58,523.194,374.401,1.39742,0.698505,154335,441.201,0.776128,0.990598,0.889586,0.843282,0.00342217,0.00106751,0.711125,0.99374,2
3448,152952,1477.76,522.955,375.904,1.39119,0.69521,155498,441.299,0.785735,0.983627,0.880149,0.843855,0.00341908,0.00106945,0.712092,0.990658,2
3449,153075,1456.62,522.366,374.794,1.39374,0.696565,154335,441.476,0.801406,0.991836,0.906616,0.845147,0.00341249,0.00107394,0.714273,0.995511,2
3450,153237,1527.85,573.819,342.736,1.67423,0.802026,155159,441.71,0.662148,0.987613,0.824917,0.769772,0.00374465,0.000811033,0.592548,0.992064,2
3451,153261,1457.45,542.088,362.134,1.49693,0.74413,154519,441.744,0.836477,0.991859,0.906679,0.814894,0.00353703,0.000962103,0.664052,0.994037,2
3452,153287,1484.79,534.754,368.381,1.45163,0.724876,155347,441.782,0.789708,0.986739,0.873752,0.82614,0.00348858,0.0010024,0.682507,0.99075,2
3453,153644,1506.5,559.493,354.49,1.5783,0.773668,157005,442.296,0.763957,0.978593,0.850719,0.79053,0.00364149,0.000877266,0.624937,0.98634,2
3454,153885,1491.35,573.371,343.845,1.66753,0.800233,156047,442.643,0.779038,0.986145,0.869454,0.772,0.00372597,0.000816372,0.595984,0.993821,2
3455,153971,1476.91,543.483,362.892,1.49764,0.744416,155410,442.766,0.815295,0.990741,0.887035,0.814682,0.00352978,0.000959136,0.663707,0.993996,2
3456,154029,1525.75,567.699,350.482,1.61977,0.78667,157183,442.85,0.784461,0.979934,0.831466,0.780078,0.00368566,0.000841876,0.608522,0.985663,2
3457,154160,1479.13,540.381,365.061,1.48025,0.737303,155782,443.038,0.813286,0.989588,0.885463,0.819862,0.00350533,0.000976949,0.672174,0.994985,2
3458,154364,1481.35,556.153,353.853,1.57171,0.771482,155283,443.331,0.813058,0.994082,0.883976,0.797139,0.00360287,0.000897353,0.63543,0.99871,2
3459,154568,1481.09,526.797,375.038,1.40465,0.70226,156202,443.624,0.759384,0.989539,0.885455,0.842115,0.00340819,0.00105728,0.709158,0.99612,2
3460,154706,1468.38,532.955,371.07,1.43627,0.7178,156085,443.822,0.771232,0.991165,0.901656,0.832757,0.00344495,0.00102196,0.693484,0.996028,2
3461,154721,1475.51,538.886,367.797,1.46517,0.730873,155903,443.843,0.803896,0.992418,0.893048,0.823631,0.00348295,0.000988686,0.678368,0.993926,2
3462,154727,1478.08,550.008,358.912,1.53243,0.75774,156062,443.852,0.768181,0.991446,0.88998,0.806991,0.0035547,0.000929948,0.651235,0.997975,2
3463,154772,1499.69,571.553,347.198,1.64619,0.794347,156330,443.916,0.706825,0.990034,0.864762,0.776684,0.00369287,0.000828939,0.603239,0.993043,2
3464,154875,1532.26,580.329,343.317,1.69036,0.806239,157383,444.064,0.808147,0.984064,0.828946,0.765194,0.00374708,0.000792426,0.585522,0.989743,2
3465,155088,1485.03,526.915,375.688,1.40253,0.701169,156676,444.369,0.719169,0.989864,0.88373,0.843342,0.00339752,0.00106012,0.711225,0.997517,2
3466,155247,1508.45,569.648,350.827,1.62373,0.787851,157360,444.597,0.799624,0.986572,0.857372,0.780477,0.0036693,0.000839854,0.609145,0.989085,2
3467,155333,1491.93,564.318,352.082,1.6028,0.781499,156942,444.72,0.741978,0.989748,0.87695,0.788066,0.00363296,0.000864353,0.621048,0.995419,2
3468,155439,1530.11,571.898,351.391,1.62752,0.788971,158204,444.872,0.655324,0.982523,0.83431,0.777886,0.00367925,0.000831004,0.605107,0.984827,2
3469,155524,1523.83,559.756,360.263,1.55374,0.765356,159126,444.994,0.817506,0.977364,0.841661,0.794977,0.00359916,0.000886749,0.631989,0.981949,2
3470,155913,1510.72,574.977,347.172,1.65617,0.797135,157587,445.55,0.772772,0.989377,0.858467,0.7749,0.00368781,0.00082022,0.60047,0.994482,2
3471,155917,1507.24,553.87,361.739,1.53113,0.757261,158297,445.555,0.787659,0.984965,0.862455,0.804441,0.00355234,0.000917637,0.647125,0.990832,2
3472,156041,1480.3,540.349,370.243,1.45945,0.728363,157801,445.733,0.803077,0.988847,0.894845,0.824897,0.00346287,0.000989043,0.680456,0.993088,2
3473,156138,1492.6,544.81,365.689,1.48981,0.741254,157649,445.871,0.769957,0.990415,0.880711,0.818398,0.00348928,0.000965549,0.669775,0.997841,2
3474,156182,1527.69,552.805,360.971,1.53144,0.757374,157988,445.934,0.79383,0.988569,0.840947,0.806676,0.00353949,0.00092452,0.650726,0.996546,2
3475,156208,1462,518.873,385.17,1.34713,0.670044,157666,445.971,0.810796,0.990753,0.918371,0.8595,0.00332168,0.0011182,0.73874,0.995176,2
3476,156250,1509.43,568.121,352.357,1.61234,0.784432,157716,446.031,0.79162,0.990705,0.861797,0.785098,0.00363598,0.000852113,0.61638,0.993816,2
3477,156343,1506.75,555.708,359.748,1.54472,0.762177,158163,446.164,0.746378,0.988493,0.865376,0.802875,0.00355441,0.000911044,0.644608,0.995737,2
3478,156513,1500.45,569.203,352.827,1.61327,0.784712,157878,446.406,0.791233,0.991354,0.873613,0.784265,0.00363678,0.000848689,0.615072,0.992274,2
3479,156593,1478.86,555.822,360.033,1.54381,0.761854,157868,446.52,0.802588,0.991924,0.899769,0.803351,0.00354947,0.000911938,0.645373,0.996333,2
3480,156645,1504.8,569.849,352.32,1.61742,0.785966,158624,446.594,0.776066,0.987524,0.869299,0.783707,0.00363784,0.000846521,0.614196,0.993412,2
3481,156910,1480.48,541.919,370.567,1.46241,0.729665,158236,446.972,0.765542,0.99162,0.899614,0.824794,0.0034537,0.000985931,0.680286,0.994854,2
3482,156974,1473.74,550.855,366.742,1.50202,0.746159,158564,447.063,0.68919,0.989973,0.90823,0.811581,0.00350921,0.000939109,0.658663,0.989328,2
3483,157119,1483.12,530.002,379.432,1.39683,0.698196,158406,447.27,0.773871,0.991875,0.897603,0.843901,0.00337325,0.00105535,0.71217,0.994781,2
3484,157128,1534.97,588.058,343.053,1.71419,0.81221,158837,447.282,0.811301,0.989241,0.838037,0.76061,0.00374254,0.000772669,0.578527,0.991706,2
3485,157188,1515.31,587.423,342.815,1.71353,0.812048,158675,447.368,0.802651,0.990629,0.860258,0.761577,0.00373707,0.000775472,0.579999,0.993845,2
3486,157309,1514.28,571.244,354.814,1.60998,0.783712,160099,447.54,0.801309,0.982573,0.862082,0.783448,0.00363135,0.000843896,0.613791,0.988193,2
3487,157321,1562.23,587.41,346.315,1.69617,0.807723,160654,447.557,0.80333,0.979254,0.810039,0.761915,0.00373383,0.000776179,0.580515,0.984655,2
3488,157579,1512.32,558.994,362.315,1.54284,0.761508,159950,447.924,0.710933,0.985177,0.865805,0.801304,0.00354739,0.000902147,0.642088,0.990639,2
3489,157613,1470.93,516.206,389.933,1.32383,0.655285,158756,447.972,0.770724,0.9928,0.91541,0.867816,0.00327515,0.00114583,0.753105,0.996986,2
3490,157916,1508.39,574.518,350.861,1.63745,0.791858,159638,448.403,0.768321,0.989213,0.872179,0.780485,0.00363812,0.000832751,0.609157,0.997465,2
3491,158001,1493.2,552.688,365.119,1.51372,0.750717,159353,448.523,0.77962,0.991516,0.890504,0.811531,0.003498,0.000935881,0.658583,0.99691,2
3492,158083,1508.22,582.503,348.178,1.673,0.801699,159942,448.64,0.771287,0.988377,0.873299,0.770193,0.00368479,0.000799819,0.593198,0.992422,2
3493,158140,1564.99,536.765,378.408,1.41848,0.709228,160990,448.721,0.829287,0.982297,0.811383,0.835972,0.00339424,0.00102256,0.698849,0.991304,2
3494,158438,1527.5,569.153,357.263,1.59309,0.778447,160009,449.143,0.722231,0.990182,0.85331,0.789143,0.00359227,0.000859355,0.622747,0.992094,2
3495,158935,1504.27,546.701,372.921,1.466,0.731231,160484,449.847,0.706378,0.990348,0.882633,0.82284,0.00343977,0.000972682,0.677065,0.992576,2
3496,159048,1511.12,564.008,362.619,1.55537,0.765923,161042,450.007,0.797353,0.987618,0.875262,0.797873,0.00354615,0.000886487,0.636602,0.990154,2
3497,159120,1527.54,582.196,351.606,1.65582,0.797037,161525,450.109,0.732233,0.985111,0.856944,0.773122,0.00365885,0.000806336,0.597717,0.989712,2
3498,159200,1537.85,577.68,354.211,1.63089,0.789957,162095,450.222,0.803067,0.98214,0.845916,0.779362,0.00362864,0.000825812,0.607405,0.990612,2
3499,159247,1521.88,550.01,369.774,1.48742,0.740276,161350,450.288,0.780164,0.986966,0.864011,0.818691,0.00345382,0.000957103,0.670254,0.996952,2
3500,159369,1510.58,570.151,358.579,1.59003,0.77747,160867,450.461,0.809086,0.990688,0.877662,0.790073,0.00357755,0.000859874,0.624216,0.99252,2
3501,159402,1508.08,529.685,384.024,1.3793,0.688743,161419,450.507,0.781191,0.987505,0.880751,0.85052,0.00332295,0.00107261,0.723384,0.997764,2
3502,159596,1509.38,536.514,379.888,1.41229,0.706144,161161,450.781,0.765492,0.990289,0.880309,0.840204,0.0033617,0.00103342,0.705943,0.997,2
3503,159638,1502.31,561.587,363.627,1.54441,0.762067,161375,450.841,0.762906,0.989236,0.888842,0.802797,0.00351788,0.000901331,0.644483,0.995344,2
3504,159689,1538.97,566.597,362.481,1.56311,0.768582,161935,450.913,0.779762,0.98613,0.847276,0.795826,0.00354813,0.000877914,0.633339,0.989978,2
3505,159694,1511.6,569.374,358.793,1.58692,0.776471,160650,450.92,0.813313,0.994049,0.878269,0.791958,0.0035654,0.000865161,0.627197,0.995309,2
3506,159806,1560.01,600.076,347.047,1.72909,0.815797,164335,451.078,0.77201,0.97244,0.825181,0.751702,0.00375503,0.000739562,0.565055,0.977033,2
3507,160141,1531.84,560.198,367.033,1.52629,0.755469,162846,451.55,0.793394,0.983389,0.857602,0.806055,0.00349815,0.000910915,0.649725,0.991668,2
3508,160250,1511.12,552.843,369.983,1.49424,0.743049,161847,451.704,0.819035,0.990133,0.881886,0.817057,0.00344988,0.000948402,0.667582,0.997526,2
3509,160273,1550.03,599.08,343.575,1.74367,0.819203,163513,451.737,0.808871,0.980185,0.838286,0.754051,0.00373787,0.00074543,0.568593,0.991436,2
3510,160359,1496.09,534.153,384.125,1.39057,0.694876,162102,451.858,0.757296,0.989248,0.900297,0.845934,0.00333098,0.0010522,0.715604,0.995096,2
3511,160568,1505.45,542.67,380.311,1.42691,0.713343,162914,452.152,0.805809,0.9856,0.8903,0.8332,0.00337969,0.00100474,0.694222,0.990591,2
3512,160641,1514.9,544.892,376.79,1.44614,0.722382,161945,452.255,0.778639,0.991948,0.879623,0.829989,0.00339199,0.000992942,0.688882,0.996222,2
3513,160687,1513.86,579.796,355.708,1.62998,0.78969,162673,452.32,0.788834,0.987791,0.88109,0.780136,0.00360823,0.000824432,0.608611,0.992022,2
3514,161008,1496.09,505.597,407.861,1.23963,0.590972,163019,452.771,0.81406,0.987664,0.903947,0.895519,0.0031402,0.00124576,0.801954,0.994126,2
3515,161473,1556.28,605.285,343.018,1.76458,0.82392,163971,453.425,0.800064,0.984766,0.837785,0.749109,0.00374852,0.000728149,0.561165,0.990222,2
3516,161534,1532.14,578.557,357.227,1.61958,0.786614,163293,453.51,0.792175,0.989228,0.864723,0.783865,0.00358164,0.000834116,0.614444,0.99514,2
3517,161579,1502.82,558.604,368.791,1.51469,0.751089,162975,453.573,0.80196,0.991434,0.89905,0.811976,0.00345716,0.000926985,0.659306,0.998644,2
3518,161603,1533.72,575.491,361.955,1.58995,0.777446,163875,453.607,0.826352,0.986136,0.863305,0.788209,0.00356114,0.00084788,0.621273,0.987795,2
3519,162012,1528.14,588.944,353.59,1.66561,0.799716,163383,454.181,0.852269,0.991609,0.87183,0.771178,0.00363519,0.000793095,0.594716,0.990567,2
3520,162019,1575.18,596.692,350.252,1.70361,0.809594,164165,454.19,0.715632,0.986928,0.820564,0.761181,0.00368285,0.000762632,0.579396,0.987063,2
3521,162230,1486.17,543.407,381.837,1.42314,0.711514,163470,454.486,0.782835,0.992415,0.923009,0.836364,0.00334961,0.00101101,0.699504,0.995492,2
3522,162310,1574.43,595.51,352.596,1.68893,0.805871,165976,454.598,0.796883,0.977912,0.822827,0.763376,0.00366897,0.000768561,0.582743,0.984213,2
3523,162374,1557.83,580.977,357.478,1.62521,0.788289,164508,454.688,0.787153,0.987028,0.840784,0.782626,0.00357802,0.000828017,0.612503,0.995447,2
3524,162493,1517.5,546.683,379.535,1.4404,0.719732,163687,454.854,0.726706,0.992706,0.886725,0.832026,0.00336435,0.000994555,0.692268,0.997143,2
